key,description,en,zh_CN,zh_TW,es,fr,de,ja,ko,pt,it,ru,tr,hi,id,vi,ar
app_title,App 標題,Seek Player,时间位移播放器,時間位移播放器,Reproductor Seek,Lecteur Seek,Seek Player,シークプレイヤー,시크 플레이어,Reprodutor Seek,Lettore Seek,Плеер Seek,Seek Oynatıcı,सीक प्लेयर,Pemutar Seek,Trình phát Seek,مشغل سيك
tab_music_list,底部導覽-音樂列表,Music,音乐,音樂,Música,Musique,Musik,音楽,음악,Música,Musica,Музыка,Müzik,संगीत,Musik,Nhạc,الموسيقى
tab_player,底部導覽-播放器,Player,播放器,播放器,Reproductor,Lecteur,Player,プレイヤー,플레이어,Reprodutor,Lettore,Плеер,Oynatıcı,प्लेयर,Pemutar,Trình phát,المشغل
tab_profile,底部導覽-我的,Profile,我的,我的,Perfil,Profil,Profil,マイページ,마이,Perfil,Profilo,Профиль,Profil,प्रोफ़ाइल,Profil,Cá nhân,حسابي
profile_account,我的-帳戶,Account,账户,帳戶,Cuenta,Compte,Konto,アカウント,계정,Conta,Account,Аккаунт,Hesap,खाता,Akun,Tài khoản,الحساب
profile_statistics,我的-統計數據,Statistics,统计数据,統計數據,Estadísticas,Statistiques,Statistiken,統計,통계,Estatísticas,Statistiche,Статистика,İstatistikler,आँकड़े,Statistik,Thống kê,الإحصائيات
profile_settings,我的-設定,Settings,设置,設定,Ajustes,Paramètres,Einstellungen,設定,설정,Configurações,Impostazioni,Настройки,Ayarlar,सेटिंग्स,Pengaturan,Cài đặt,الإعدادات
profile_about,我的-關於,About,关于,關於,Acerca de,À propos,Über,アプリについて,정보,Sobre,Informazioni,О приложении,Hakkında,परिचय,Tentang,Giới thiệu,حول
player_play,播放,Play,播放,播放,Reproducir,Lire,Wiedergabe,再生,재생,Reproduzir,Riproduci,Воспроизвести,Oynat,चलाएँ,Putar,Phát,تشغيل
player_pause,暫停,Pause,暂停,暫停,Pausa,Pause,Pause,一時停止,일시정지,Pausar,Pausa,Пауза,Duraklat,रोकें,Jeda,Tạm dừng,إيقاف مؤقت
player_next,下一首,Next,下一首,下一首,Siguiente,Suivant,Weiter,次へ,다음,Próxima,Successivo,Следующий,Sonraki,अगला,Berikutnya,Tiếp theo,التالي
player_previous,上一首,Previous,上一首,上一首,Anterior,Précédent,Zurück,前へ,이전,Anterior,Precedente,Предыдущий,Önceki,पिछला,Sebelumnya,Trước đó,السابق
music_import,匯入音樂,Import music,导入音乐,匯入音樂,Importar música,Importer de la musique,Musik importieren,音楽をインポート,음악 가져오기,Importar música,Importa musica,Импорт музыки,Müzik içe aktar,संगीत आयात करें,Impor musik,Nhập nhạc,استيراد الموسيقى
music_search,搜尋,Search,搜索,搜尋,Buscar,Rechercher,Suchen,検索,검색,Pesquisar,Cerca,Поиск,Ara,खोजें,Cari,Tìm kiếm,بحث
music_empty,清單為空提示,No music found,未找到音乐,找不到音樂,No se encontró música,Aucune musique trouvée,Keine Musik gefunden,音楽が見つかりません,음악을 찾을 수 없습니다,Nenhuma música encontrada,Nessuna musica trovata,Музыка не найдена,Müzik bulunamadı,कोई संगीत नहीं मिला,Musik tidak ditemukan,Không tìm thấy nhạc,لم يتم العثور على موسيقى
permission_title,權限對話框-標題,Storage permission required,需要存储权限,需要儲存權限,Se requiere permiso de almacenamiento,Autorisation de stockage requise,Speicherberechtigung erforderlich,ストレージへのアクセス許可が必要です,저장소 권한이 필요합니다,Permissão de armazenamento necessária,Autorizzazione di archiviazione richiesta,Требуется разрешение на доступ к хранилищу,Depolama izni gerekli,स्टोरेज अनुमति आवश्यक है,Izin penyimpanan diperlukan,Cần quyền truy cập bộ nhớ,مطلوب إذن التخزين
permission_message,權限對話框-說明,We need access to your audio files to scan and play local music.,我们需要访问您的音频文件以扫描并播放本地音乐。,我們需要存取您的音訊檔案以掃描並播放本機音樂。,Necesitamos acceso a tus archivos de audio para escanear y reproducir música local.,Nous avons besoin d'accéder à vos fichiers audio pour analyser et lire la musique locale.,Wir benötigen Zugriff auf deine Audiodateien um lokale Musik zu scannen und abzuspielen.,ローカルの音楽をスキャンして再生するためにオーディオファイルへのアクセスが必要です。,로컬 음악을 검색하고 재생하려면 오디오 파일에 대한 접근 권한이 필요합니다.,Precisamos de acesso aos seus arquivos de áudio para verificar e reproduzir músicas locais.,Abbiamo bisogno di accedere ai tuoi file audio per cercare e riprodurre la musica locale.,Нам нужен доступ к вашим аудиофайлам для сканирования и воспроизведения локальной музыки.,Yerel müzikleri taramak ve çalmak için ses dosyalarınıza erişmemiz gerekiyor.,स्थानीय संगीत को स्कैन और चलाने के लिए हमें आपकी ऑडियो फ़ाइलों तक पहुँच की आवश्यकता है।,Kami memerlukan akses ke file audio Anda untuk memindai dan memutar musik lokal.,Chúng tôi cần quyền truy cập tệp âm thanh để quét và phát nhạc cục bộ.,نحتاج إلى الوصول إلى ملفاتك الصوتية لفحص الموسيقى المحلية وتشغيلها.
permission_allow,權限對話框-允許,Allow,允许,允許,Permitir,Autoriser,Zulassen,許可,허용,Permitir,Consenti,Разрешить,İzin ver,अनुमति दें,Izinkan,Cho phép,السماح
permission_deny,權限對話框-暫不,Not now,暂不,暫不,Ahora no,Pas maintenant,Nicht jetzt,後で,나중에,Agora não,Non ora,Не сейчас,Şimdi değil,अभी नहीं,Nanti saja,Để sau,ليس الآن
permission_open_settings,權限對話框-前往設定,Open settings,前往设置,前往設定,Abrir ajustes,Ouvrir les paramètres,Einstellungen öffnen,設定を開く,설정 열기,Abrir configurações,Apri impostazioni,Открыть настройки,Ayarları aç,सेटिंग्स खोलें,Buka pengaturan,Mở cài đặt,فتح الإعدادات
settings_language,設定-語言,Language,语言,語言,Idioma,Langue,Sprache,言語,언어,Idioma,Lingua,Язык,Dil,भाषा,Bahasa,Ngôn ngữ,اللغة
settings_theme,設定-主題,Theme,主题,主題,Tema,Thème,Design,テーマ,테마,Tema,Tema,Тема,Tema,थीम,Tema,Giao diện,السمة
common_cancel,通用-取消,Cancel,取消,取消,Cancelar,Annuler,Abbrechen,キャンセル,취소,Cancelar,Annulla,Отмена,İptal,रद्द करें,Batal,Hủy,إلغاء
common_confirm,通用-確定,Confirm,确定,確定,Confirmar,Confirmer,Bestätigen,確定,확인,Confirmar,Conferma,Подтвердить,Onayla,पुष्टि करें,Konfirmasi,Xác nhận,تأكيد
